created_time,queued_duration,running_duration
2018-09-01 05:34:10.000,21,0
2018-09-01 06:34:24.000,37,0
2018-09-01 07:34:38.000,26,0
2018-09-01 08:34:52.000,39,0
2018-09-01 09:35:07.000,81,0
2018-09-01 10:35:21.000,58,0
2018-09-01 11:35:36.000,27,0
2018-09-01 12:35:50.000,15,0
2018-09-01 13:36:04.000,31,0
2018-09-01 14:36:18.000,11,0
2018-09-01 15:36:35.000,27,2
2018-09-01 16:36:50.000,11,2
2018-09-01 17:37:04.000,36,0
2018-09-01 18:37:19.000,8,2
2018-09-01 19:37:33.000,26,0
2018-09-01 20:37:48.000,62,0
2018-09-01 21:38:02.000,43,0
2018-09-01 22:38:16.000,13,0
2018-09-01 23:38:31.000,29,0
2018-09-02 00:38:45.000,13,2
2018-09-02 01:38:59.000,31,0
2018-09-02 02:39:14.000,16,0
2018-09-02 03:39:28.000,32,0
2018-09-02 04:39:42.000,18,2
2018-09-02 05:39:56.000,35,2
2018-09-02 06:40:11.000,21,0
2018-09-02 07:40:25.000,36,2
2018-09-02 08:40:39.000,22,0
2018-09-02 09:40:53.000,36,2
2018-09-02 10:41:08.000,25,2
2018-09-02 11:41:22.000,40,0
2018-09-02 12:41:36.000,25,2
2018-09-02 13:41:50.000,12,2
2018-09-02 14:42:05.000,28,0
2018-09-02 15:42:19.000,15,0
2018-09-02 16:42:34.000,28,0
2018-09-02 17:42:48.000,12,0
2018-09-02 18:43:02.000,29,0
2018-09-02 19:43:17.000,13,0
2018-09-02 20:43:31.000,31,0
2018-09-02 21:43:46.000,18,0
2018-09-02 22:44:00.000,82,0
2018-09-02 23:44:15.000,17,0
2018-09-03 00:44:29.000,32,0
2018-09-03 01:44:43.000,75,2
2018-09-03 02:44:58.000,33,2
2018-09-03 03:45:12.000,19,2
2018-09-03 04:45:27.000,34,0
2018-09-03 05:45:41.000,22,2
2018-09-03 06:45:55.000,36,0
2018-09-03 07:46:10.000,23,0
2018-09-03 08:46:24.000,89,0
2018-09-03 09:46:38.000,82,0
2018-09-03 10:46:53.000,93,0
2018-09-03 11:47:07.000,67,0
2018-09-03 12:47:21.000,59,2
2018-09-03 13:47:35.000,25,2
2018-09-03 14:47:49.000,11,2
2018-09-03 15:48:04.000,84,0
2018-09-03 16:48:18.000,16,0
2018-09-03 17:48:33.000,27,2
2018-09-03 18:48:47.000,72,2
2018-09-03 19:49:01.000,30,2
2018-09-03 20:49:16.000,15,0
2018-09-03 21:49:30.000,28,2
